n	 bladmax
1	0
2	6.66134e-16
3	1.25455e-14
4	5.97966e-13
5	2.59126e-12
6	4.25416e-10
7	1.52219e-08
8	4.87042e-07
9	1.68691e-05
10	0.000436912
11	0.00972649
12	0.204232
13	6.49353
14	10.4282
15	8.35505
16	9.18007
17	18.4165
18	46.1289
19	13.342
20	58.5163
21	61.6976
22	67.008
23	171.558
24	46.1705
25	151.476
26	122.603
27	61.097
28	548.858
29	82.204
30	111.633
31	199.083
32	56.0487
33	144.092
34	394.53
35	486.94
36	5586.85
37	145.973
38	367.139
39	104.686
40	195.959
41	356.691
42	266.911
43	633.709
44	683.408
45	465.863
46	401.729
47	790.796
48	559.718
49	922.053
50	618.789
