n	 bladmax
1	0
2	3.57628e-07
3	5.48363e-06
4	2.22921e-05
5	0.00813407
6	0.198709
7	1.80986
8	3.79016
9	34.8523
10	6.42763
11	186.196
12	87.8308
13	67.2776
14	1351.04
15	120.306
16	141.705
17	222.374
18	256.413
19	42.4748
20	39.7329
21	36.4508
22	89.4827
23	38.9409
24	145.268
25	155.471
26	395.971
27	891.721
28	170.11
29	72.2589
30	96.1754
31	56.2591
32	181.016
33	62.0225
34	135.718
35	167.119
36	73.6256
37	146.391
38	159.759
39	240.835
40	529.831
41	731.768
42	5725.47
43	122.849
44	392.206
45	5082.11
46	3905.83
47	151.873
48	366.429
49	265.744
50	158.333
