n	 bladmax
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000017
10	0.000437
11	0.009726
12	0.204232
13	6.493530
14	10.428208
15	8.355048
16	9.180072
17	18.416462
18	46.128918
19	13.341959
20	58.516277
21	61.697590
22	67.008001
23	171.558351
24	46.170493
25	151.476438
26	122.603044
27	61.096976
28	548.858039
29	82.203974
30	111.633151
31	199.083314
32	56.048669
33	144.092158
34	394.529951
35	486.940192
36	5586.854691
37	145.972625
38	367.139498
39	104.685647
40	195.958928
41	356.690655
42	266.911383
43	633.709335
44	683.408446
45	465.863377
46	401.729369
47	790.796060
48	559.717617
49	922.053500
50	618.788885
